2026-06-29 14:23:05,873 | [META-RNW] | INFO | __main__ | Run ID: 20260629_142305_meta_renewed | dropout=0.50 | patience=40 | lr=1e-04 | wd=1e-02
2026-06-29 14:23:05,874 | [META-RNW] | INFO | __main__ | Log file: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/logs/run_20260629_142305_meta_renewed.log
2026-06-29 14:23:05,875 | [META-RNW] | INFO | __main__ | Loading 8-task VOG tensors (4-error CWT) from: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/data
2026-06-29 14:23:06,037 | [META-RNW] | INFO | full_experiments_using.data_processor.data_engineering | Loaded preprocessed data_store from cache: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/cache/data_store_meta_4err.pkl (5736 epochs)
2026-06-29 14:23:06,057 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing | Strict-parity drop (over 4 plenty tasks): 5 subject(s) had <10 trials on ≥1 kept task.
2026-06-29 14:23:06,058 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260224_093854_1212626_ (MCI) — kept-task counts [t0, t3, t4, t7] = [27, 5, 47, 20]
2026-06-29 14:23:06,058 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260317_093419_1012933 (MCI) — kept-task counts [t0, t3, t4, t7] = [49, 9, 50, 23]
2026-06-29 14:23:06,058 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260310_090536_1517154 (MCI) — kept-task counts [t0, t3, t4, t7] = [48, 7, 51, 24]
2026-06-29 14:23:06,058 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260128_084616_972310 (MCI) — kept-task counts [t0, t3, t4, t7] = [47, 9, 47, 21]
2026-06-29 14:23:06,058 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260325_084718_1491320 (MCI) — kept-task counts [t0, t3, t4, t7] = [41, 5, 50, 15]
2026-06-29 14:23:06,071 | [META-RNW] | INFO | __main__ | Subject bundles built: 32  (bundle shape = (32, 4, 10, 4, 32, 32); KEEP_TASK_IDS=(0, 3, 4, 7))
2026-06-29 14:23:06,072 | [META-RNW] | INFO | __main__ | Strict-parity dropped subjects: 5
2026-06-29 14:23:06,196 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | Renewed meta MC Group CV — 30 folds | device=cuda | dropout=0.50 | lr=1e-04 | wd=1e-02 | NUM_TASKS=4
2026-06-29 14:23:06,197 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | Loading shared MobileViT-small backbone (one-time, no patches)...
2026-06-29 14:23:06,554 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-29 14:23:06,575 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/apple/mobilevit-small/6c8612545dc98676d27bc518fa521d9e9af23e34/config.json "HTTP/1.1 200 OK"
2026-06-29 14:23:06,860 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
2026-06-29 14:23:07,079 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors.index.json "HTTP/1.1 404 Not Found"
2026-06-29 14:23:07,293 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/pytorch_model.bin "HTTP/1.1 302 Found"
2026-06-29 14:23:07,523 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
