2026-06-29 16:11:54,862 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [002/500] T-Acc:  54.5%  V-Acc:  60.0%  V-AUROC: 0.0417  LR: 4.00e-05
2026-06-29 16:11:55,224 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [003/500] T-Acc:  59.1%  V-Acc:  60.0%  V-AUROC: 0.0417  LR: 6.00e-05
2026-06-29 16:11:55,576 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [004/500] T-Acc:  54.5%  V-Acc:  60.0%  V-AUROC: 0.0417  LR: 8.00e-05
2026-06-29 16:11:55,991 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [005/500] T-Acc:  54.5%  V-Acc:  30.0%  V-AUROC: 0.0833  LR: 1.00e-04
2026-06-29 16:11:56,101 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_00_best.pth
2026-06-29 16:11:56,528 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [006/500] T-Acc:  31.8%  V-Acc:  30.0%  V-AUROC: 0.0833  LR: 1.00e-04
2026-06-29 16:11:56,960 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [007/500] T-Acc:  36.4%  V-Acc:  20.0%  V-AUROC: 0.1250  LR: 1.00e-04
2026-06-29 16:11:57,081 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_00_best.pth
2026-06-29 16:11:57,499 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [008/500] T-Acc:  63.6%  V-Acc:  10.0%  V-AUROC: 0.1667  LR: 1.00e-04
2026-06-29 16:11:57,612 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_00_best.pth
2026-06-29 16:11:58,033 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [009/500] T-Acc:  54.5%  V-Acc:  30.0%  V-AUROC: 0.2500  LR: 1.00e-04
2026-06-29 16:11:58,150 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_00_best.pth
2026-06-29 16:11:58,547 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [010/500] T-Acc:  77.3%  V-Acc:  60.0%  V-AUROC: 0.2083  LR: 1.00e-04
2026-06-29 16:11:58,961 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [011/500] T-Acc:  68.2%  V-Acc:  60.0%  V-AUROC: 0.2083  LR: 1.00e-04
2026-06-29 16:11:59,334 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [012/500] T-Acc:  77.3%  V-Acc:  60.0%  V-AUROC: 0.2083  LR: 1.00e-04
2026-06-29 16:11:59,711 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [013/500] T-Acc:  68.2%  V-Acc:  50.0%  V-AUROC: 0.3333  LR: 1.00e-04
2026-06-29 16:11:59,826 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_00_best.pth
2026-06-29 16:12:00,213 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [014/500] T-Acc:  86.4%  V-Acc:  60.0%  V-AUROC: 0.5417  LR: 1.00e-04
2026-06-29 16:12:00,488 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_00_best.pth
2026-06-29 16:12:00,907 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [015/500] T-Acc:  77.3%  V-Acc:  50.0%  V-AUROC: 0.4583  LR: 1.00e-04
2026-06-29 16:12:01,285 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [016/500] T-Acc:  86.4%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 1.00e-04
2026-06-29 16:12:01,665 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [017/500] T-Acc:  86.4%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 1.00e-04
2026-06-29 16:12:02,034 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [018/500] T-Acc:  86.4%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 1.00e-04
2026-06-29 16:12:02,444 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [019/500] T-Acc:  77.3%  V-Acc:  50.0%  V-AUROC: 0.3750  LR: 1.00e-04
2026-06-29 16:12:02,812 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [020/500] T-Acc:  77.3%  V-Acc:  30.0%  V-AUROC: 0.3750  LR: 1.00e-04
2026-06-29 16:12:03,146 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [021/500] T-Acc:  90.9%  V-Acc:  30.0%  V-AUROC: 0.3750  LR: 1.00e-04
2026-06-29 16:12:03,495 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [022/500] T-Acc:  81.8%  V-Acc:  40.0%  V-AUROC: 0.3333  LR: 1.00e-04
2026-06-29 16:12:03,848 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [023/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.2917  LR: 1.00e-04
2026-06-29 16:12:04,210 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [024/500] T-Acc:  86.4%  V-Acc:  50.0%  V-AUROC: 0.3750  LR: 1.00e-04
2026-06-29 16:12:04,675 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [025/500] T-Acc:  81.8%  V-Acc:  50.0%  V-AUROC: 0.3750  LR: 1.00e-04
2026-06-29 16:12:05,058 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [026/500] T-Acc:  86.4%  V-Acc:  50.0%  V-AUROC: 0.3750  LR: 2.00e-05
2026-06-29 16:12:05,527 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [027/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.3750  LR: 2.00e-05
2026-06-29 16:12:05,890 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [028/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 2.00e-05
2026-06-29 16:12:06,257 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [029/500] T-Acc:  95.5%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 2.00e-05
2026-06-29 16:12:06,645 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [030/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 2.00e-05
2026-06-29 16:12:07,042 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [031/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 2.00e-05
2026-06-29 16:12:07,424 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [032/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 2.00e-05
2026-06-29 16:12:07,808 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [033/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.4583  LR: 2.00e-05
2026-06-29 16:12:08,189 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [034/500] T-Acc:  86.4%  V-Acc:  50.0%  V-AUROC: 0.4583  LR: 2.00e-05
2026-06-29 16:12:08,556 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [035/500] T-Acc:  86.4%  V-Acc:  60.0%  V-AUROC: 0.4583  LR: 2.00e-05
2026-06-29 16:12:08,926 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [036/500] T-Acc:  90.9%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 2.00e-05
2026-06-29 16:12:09,317 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [037/500] T-Acc: 100.0%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 4.00e-06
2026-06-29 16:12:09,697 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [038/500] T-Acc: 100.0%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 4.00e-06
2026-06-29 16:12:10,081 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [039/500] T-Acc:  95.5%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 4.00e-06
