2026-07-04 22:36:50,476 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage1_trainer | Stage 1 done. Best val loss: 0.6632 (epoch 1)
2026-07-04 22:36:50,621 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.hybrid_trainer | Stage 2 fold 1 — bundles: train 25 (subj=25)  test 12 (subj=12)
2026-07-04 22:36:50,991 | [SIFT-DBT] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/microsoft/swin-tiny-patch4-window7-224/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-04 22:36:51,009 | [SIFT-DBT] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/swin-tiny-patch4-window7-224/d00d478bfaf1f417d34a1186673ad4b4be264c51/config.json "HTTP/1.1 200 OK"
2026-07-04 22:36:51,287 | [SIFT-DBT] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/microsoft/swin-tiny-patch4-window7-224/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-07-04 22:36:51,734 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Stage 2 trainable params: 0.074 M  |  frozen: 27.519 M
2026-07-04 22:36:51,736 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Stage 2 CE weights — HC: 1.250  MCI: 0.833
2026-07-04 22:37:25,766 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [001/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.2812  LR: 2.00e-05
2026-07-04 22:37:49,024 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [002/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.3125  LR: 4.00e-05
2026-07-04 22:38:14,084 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [003/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.3750  LR: 6.00e-05
2026-07-04 22:38:39,337 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [004/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.4375  LR: 8.00e-05
2026-07-04 22:39:03,835 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [005/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.4688  LR: 1.00e-04
2026-07-04 22:39:31,972 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [006/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.4688  LR: 1.00e-04
2026-07-04 22:39:54,915 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [007/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.4688  LR: 1.00e-04
2026-07-04 22:40:18,283 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [008/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.4688  LR: 1.00e-04
2026-07-04 22:40:41,368 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [009/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5312  LR: 1.00e-04
2026-07-04 22:41:07,535 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [010/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5625  LR: 1.00e-04
2026-07-04 22:41:32,233 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [011/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5625  LR: 1.00e-04
2026-07-04 22:41:55,190 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [012/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5625  LR: 1.00e-04
2026-07-04 22:42:18,112 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [013/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5625  LR: 1.00e-04
2026-07-04 22:42:41,024 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [014/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:43:06,110 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [015/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:43:29,069 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [016/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:43:52,073 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [017/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:44:15,043 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [018/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:44:38,002 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [019/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:45:00,870 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [020/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:45:25,165 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [021/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:45:48,069 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [022/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
