2026-07-04 18:27:17,843 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage1_trainer | S1-Ep [012/50] T-Loss: 0.1284  T-Acc:  95.3%  V-Loss: 2.8974  V-Acc:  49.7%  LR: 5.00e-05
2026-07-04 18:28:00,121 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage1_trainer | S1-Ep [013/50] T-Loss: 0.0535  T-Acc:  98.2%  V-Loss: 4.0123  V-Acc:  45.6%  LR: 1.00e-05
2026-07-04 18:28:42,388 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage1_trainer | S1-Ep [014/50] T-Loss: 0.0351  T-Acc:  99.0%  V-Loss: 4.9681  V-Acc:  45.7%  LR: 1.00e-05
2026-07-04 18:28:42,388 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage1_trainer | Stage 1 early stop — best val loss 0.7146 at epoch 4
2026-07-04 18:28:42,388 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage1_trainer | Stage 1 done. Best val loss: 0.7146 (epoch 4)
2026-07-04 18:28:42,472 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.hybrid_trainer | Stage 2 fold 1 — bundles: train 25 (subj=25)  test 12 (subj=12)
2026-07-04 18:28:42,724 | [SIFT-DBT] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/microsoft/swin-tiny-patch4-window7-224/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-04 18:28:42,740 | [SIFT-DBT] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/swin-tiny-patch4-window7-224/d00d478bfaf1f417d34a1186673ad4b4be264c51/config.json "HTTP/1.1 200 OK"
2026-07-04 18:28:43,012 | [SIFT-DBT] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/microsoft/swin-tiny-patch4-window7-224/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-07-04 18:28:43,546 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Stage 2 trainable params: 0.591 M  |  frozen: 27.519 M
2026-07-04 18:28:43,546 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Stage 2 CE weights — HC: 1.250  MCI: 0.833
2026-07-04 18:29:21,505 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [001/500] T-Acc:  72.0%  V-Acc:  58.3%  V-AUROC: 0.6875  LR: 2.00e-05
2026-07-04 18:29:44,424 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [002/500] T-Acc:  96.0%  V-Acc:  50.0%  V-AUROC: 0.7812  LR: 4.00e-05
2026-07-04 18:30:09,960 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [003/500] T-Acc:  96.0%  V-Acc:  50.0%  V-AUROC: 0.8125  LR: 6.00e-05
2026-07-04 18:30:35,161 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [004/500] T-Acc:  96.0%  V-Acc:  66.7%  V-AUROC: 0.7812  LR: 8.00e-05
2026-07-04 18:30:58,875 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [005/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.7812  LR: 1.00e-04
2026-07-04 18:31:21,521 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [006/500] T-Acc:  96.0%  V-Acc:  41.7%  V-AUROC: 0.7500  LR: 1.00e-04
2026-07-04 18:31:46,908 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [007/500] T-Acc:  96.0%  V-Acc:  41.7%  V-AUROC: 0.7500  LR: 1.00e-04
2026-07-04 18:32:09,552 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [008/500] T-Acc:  96.0%  V-Acc:  41.7%  V-AUROC: 0.7188  LR: 1.00e-04
2026-07-04 18:32:35,798 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [009/500] T-Acc:  96.0%  V-Acc:  41.7%  V-AUROC: 0.7188  LR: 1.00e-04
2026-07-04 18:32:58,341 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [010/500] T-Acc:  96.0%  V-Acc:  41.7%  V-AUROC: 0.7188  LR: 1.00e-04
2026-07-04 18:33:20,820 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [011/500] T-Acc:  96.0%  V-Acc:  41.7%  V-AUROC: 0.7500  LR: 1.00e-04
2026-07-04 18:33:43,400 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [012/500] T-Acc:  96.0%  V-Acc:  41.7%  V-AUROC: 0.7188  LR: 1.00e-04
