2026-06-29 14:37:21,218 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [002/500] T-Acc:  59.1%  V-Acc:  40.0%  V-AUROC: 0.4583  LR: 4.00e-05
2026-06-29 14:37:21,610 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [003/500] T-Acc:  45.5%  V-Acc:  40.0%  V-AUROC: 0.5000  LR: 6.00e-05
2026-06-29 14:37:21,984 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [004/500] T-Acc:  36.4%  V-Acc:  40.0%  V-AUROC: 0.6250  LR: 8.00e-05
2026-06-29 14:37:22,095 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_143716_meta_renewed/fold_00_best.pth
2026-06-29 14:37:22,451 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [005/500] T-Acc:  54.5%  V-Acc:  70.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:37:22,558 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_143716_meta_renewed/fold_00_best.pth
2026-06-29 14:37:22,937 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [006/500] T-Acc:  72.7%  V-Acc:  70.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:23,315 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [007/500] T-Acc:  59.1%  V-Acc:  70.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:23,715 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [008/500] T-Acc:  54.5%  V-Acc:  70.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:37:23,824 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_143716_meta_renewed/fold_00_best.pth
2026-06-29 14:37:24,244 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [009/500] T-Acc:  81.8%  V-Acc:  60.0%  V-AUROC: 0.8333  LR: 1.00e-04
2026-06-29 14:37:24,357 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_143716_meta_renewed/fold_00_best.pth
2026-06-29 14:37:24,763 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [010/500] T-Acc:  77.3%  V-Acc:  90.0%  V-AUROC: 0.7917  LR: 1.00e-04
2026-06-29 14:37:25,187 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [011/500] T-Acc:  63.6%  V-Acc:  70.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:25,631 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [012/500] T-Acc:  63.6%  V-Acc:  70.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:26,058 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [013/500] T-Acc:  63.6%  V-Acc:  70.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:37:26,453 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [014/500] T-Acc:  81.8%  V-Acc:  70.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:37:26,862 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [015/500] T-Acc:  86.4%  V-Acc:  70.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:37:27,249 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [016/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:27,677 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [017/500] T-Acc:  77.3%  V-Acc:  70.0%  V-AUROC: 0.6250  LR: 1.00e-04
2026-06-29 14:37:28,142 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [018/500] T-Acc:  86.4%  V-Acc:  60.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:28,549 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [019/500] T-Acc:  81.8%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:28,948 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [020/500] T-Acc:  77.3%  V-Acc:  70.0%  V-AUROC: 0.5833  LR: 1.00e-04
2026-06-29 14:37:29,368 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [021/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.5833  LR: 2.00e-05
2026-06-29 14:37:29,797 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [022/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.5833  LR: 2.00e-05
2026-06-29 14:37:30,236 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [023/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.5833  LR: 2.00e-05
2026-06-29 14:37:30,660 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [024/500] T-Acc:  95.5%  V-Acc:  70.0%  V-AUROC: 0.5833  LR: 2.00e-05
2026-06-29 14:37:31,108 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [025/500] T-Acc:  90.9%  V-Acc:  70.0%  V-AUROC: 0.5833  LR: 2.00e-05
2026-06-29 14:37:31,532 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [026/500] T-Acc:  86.4%  V-Acc:  70.0%  V-AUROC: 0.5833  LR: 2.00e-05
